prior for non faulty data,accuracy,false positive
0.356,0.3723015873015873,0.0
0.357,0.3723015873015873,0.0
0.358,0.3723015873015873,0.0
0.359,0.3723015873015873,0.0
0.36,0.3723015873015873,0.0
0.361,0.3723015873015873,0.0
0.362,0.3723015873015873,0.0
0.363,0.3723015873015873,0.0
0.364,0.3723015873015873,0.0
0.365,0.3723015873015873,0.0
0.366,0.3723015873015873,0.0
0.367,0.3723015873015873,0.0
0.368,0.3723015873015873,0.0
0.369,0.3723015873015873,0.0
0.37,0.3723015873015873,0.0
0.371,0.3723015873015873,0.0
0.372,0.3723015873015873,0.0
0.373,0.3723015873015873,0.0
0.374,0.3723015873015873,0.0
0.375,0.3723015873015873,0.0
0.376,0.3723015873015873,0.0
0.377,0.3723015873015873,0.0
0.378,0.3723015873015873,0.0
0.379,0.3723015873015873,0.0
0.38,0.3723015873015873,0.0
0.381,0.3723015873015873,0.0
0.382,0.3723015873015873,0.0
0.383,0.37226190476190474,0.0
0.384,0.37226190476190474,0.0
0.385,0.37226190476190474,0.0
0.386,0.37226190476190474,0.0
0.387,0.37226190476190474,0.0
0.388,0.37222222222222223,0.0
0.389,0.37218253968253967,0.0
0.39,0.37218253968253967,0.0
0.391,0.37214285714285716,0.0
0.392,0.37214285714285716,0.0
0.393,0.37214285714285716,0.0
0.394,0.37214285714285716,0.0
0.395,0.37214285714285716,0.0
0.396,0.37214285714285716,0.0
0.397,0.37214285714285716,0.0
0.398,0.37214285714285716,0.0
0.399,0.37214285714285716,0.0
0.4,0.3721031746031746,0.0
0.401,0.3721031746031746,0.0
0.402,0.3721031746031746,0.0
0.403,0.3721031746031746,0.0
0.404,0.3721031746031746,0.0
0.405,0.3721031746031746,0.0
0.406,0.3721031746031746,0.0
0.40700000000000003,0.3721031746031746,0.0
0.40800000000000003,0.3721031746031746,0.0
0.40900000000000003,0.3721031746031746,0.0
0.41000000000000003,0.3721031746031746,0.0
0.41100000000000003,0.3721031746031746,0.0
0.41200000000000003,0.3721031746031746,0.0
0.41300000000000003,0.3721031746031746,0.0
0.41400000000000003,0.3721031746031746,0.0
0.41500000000000004,0.3721031746031746,0.0
0.41600000000000004,0.3721031746031746,0.0
0.417,0.3721031746031746,0.0
0.418,0.3721031746031746,0.0
0.419,0.3721031746031746,0.0
0.42,0.3721031746031746,0.0
0.421,0.3721031746031746,0.0
0.422,0.3721031746031746,0.0
0.423,0.3721031746031746,0.0
0.424,0.3721031746031746,0.0
0.425,0.3721031746031746,0.0
0.426,0.3721031746031746,0.0
0.427,0.3721031746031746,0.0
0.428,0.3721031746031746,0.0
0.429,0.3721031746031746,0.0
0.43,0.3721031746031746,0.0
0.431,0.3721031746031746,0.0
0.432,0.3721031746031746,0.0
0.433,0.3721031746031746,0.0
0.434,0.3721031746031746,0.0
0.435,0.3721031746031746,0.0
0.436,0.3721031746031746,0.0
0.437,0.3721031746031746,0.0
0.438,0.3721031746031746,0.0
0.439,0.3721031746031746,0.0
0.44,0.3721031746031746,0.0
0.441,0.3721031746031746,0.0
0.442,0.3721031746031746,0.0
0.443,0.3721031746031746,0.0
0.444,0.3721031746031746,0.0
0.445,0.3721031746031746,0.0
0.446,0.3721031746031746,0.0
0.447,0.37206349206349204,0.0
0.448,0.37206349206349204,0.0
0.449,0.37206349206349204,0.0
0.45,0.37206349206349204,0.0
0.451,0.37206349206349204,0.0
0.452,0.37206349206349204,0.0
0.453,0.37202380952380953,0.0
0.454,0.371984126984127,0.0
0.455,0.371984126984127,0.0
0.456,0.371984126984127,0.0
0.457,0.37194444444444447,0.0
0.458,0.37194444444444447,0.0
0.459,0.37194444444444447,0.0
0.46,0.37194444444444447,0.0
0.461,0.3719047619047619,0.0
0.462,0.3719047619047619,0.0
